brazil,congo_forest,day,month,year,brz.veg.index
9910,770,15a,7,1981,0.991
7710,710,15b,7,1981,0.771
3760,720,15a,8,1981,0.376
3440,790,15b,8,1981,0.344
3820,900,15a,9,1981,0.382
3900,780,15b,9,1981,0.39
8120,730,15a,10,1981,0.812
7690,830,15b,10,1981,0.769
7770,1000,15a,11,1981,0.777
6782,830,15b,11,1981,0.6782
7510,720,15a,12,1981,0.751
6082,830,15b,12,1981,0.6082
5530,880,15a,1,1982,0.553
7440,730,15b,1,1982,0.744
6390,690,15a,2,1982,0.639
4690,860,15b,2,1982,0.469
4920,810,15a,3,1982,0.492
4192,830,15b,3,1982,0.4192
4160,860,15a,4,1982,0.416
4190,840,15b,4,1982,0.419
4420,870,15a,5,1982,0.442
4590,830,15b,5,1982,0.459
5400,970,15a,6,1982,0.54
6170,810,15b,6,1982,0.617
5910,790,15a,7,1982,0.591
5130,760,15b,7,1982,0.513
6592,880,15a,8,1982,0.6592
7580,1010,15b,8,1982,0.758
8140,950,15a,9,1982,0.814
7502,860,15b,9,1982,0.7502
8460,810,15a,10,1982,0.846
8000,800,15b,10,1982,0.8
7012,830,15a,11,1982,0.7012
7560,790,15b,11,1982,0.756
7770,710,15a,12,1982,0.777
7530,900,15b,12,1982,0.753
7980,710,15a,1,1983,0.798
7110,770,15b,1,1983,0.711
5560,740,15a,2,1983,0.556
5450,720,15b,2,1983,0.545
3760,820,15a,3,1983,0.376
4490,910,15b,3,1983,0.449
3840,880,15a,4,1983,0.384
4080,820,15b,4,1983,0.408
3540,830,15a,5,1983,0.354
3840,710,15b,5,1983,0.384
5420,850,15a,6,1983,0.542
4970,840,15b,6,1983,0.497
6390,930,15a,7,1983,0.639
7420,750,15b,7,1983,0.742
7030,770,15a,8,1983,0.703
8410,960,15b,8,1983,0.841
8570,870,15a,9,1983,0.857
6382,830,15b,9,1983,0.6382
6932,810,15a,10,1983,0.6932
8470,740,15b,10,1983,0.847
8160,820,15a,11,1983,0.816
6762,830,15b,11,1983,0.6762
7012,780,15a,12,1983,0.7012
7170,860,15b,12,1983,0.717
7030,780,15a,1,1984,0.703
6140,670,15b,1,1984,0.614
6000,790,15a,2,1984,0.6
4914,750,15b,2,1984,0.4914
3382,820,15a,3,1984,0.3382
3990,910,15b,3,1984,0.399
3840,820,15a,4,1984,0.384
3970,810,15b,4,1984,0.397
3290,880,15a,5,1984,0.329
3560,870,15b,5,1984,0.356
3500,930,15a,6,1984,0.35
4890,920,15b,6,1984,0.489
3870,1020,15a,7,1984,0.387
6160,910,15b,7,1984,0.616
5092,1030,15a,8,1984,0.5092
6992,910,15b,8,1984,0.6992
7920,730,15a,9,1984,0.792
6832,930,15b,9,1984,0.6832
7532,1030,15a,10,1984,0.7532
7602,950,15b,10,1984,0.7602
6872,850,15a,11,1984,0.6872
7460,860,15b,11,1984,0.746
5992,820,15a,12,1984,0.5992
7610,710,15b,12,1984,0.761
7560,690,15a,1,1985,0.756
7390,680,15b,1,1985,0.739
6090,760,15a,2,1985,0.609
3780,850,15b,2,1985,0.378
3900,760,15a,3,1985,0.39
6040,800,15b,3,1985,0.604
4210,720,15a,4,1985,0.421
3650,830,15b,4,1985,0.365
5090,950,15a,5,1985,0.509
3080,880,15b,5,1985,0.308
2720,930,15a,6,1985,0.272
4160,780,15b,6,1985,0.416
7010,940,15a,7,1985,0.701
7280,800,15b,7,1985,0.728
4842,870,15a,8,1985,0.4842
7740,970,15b,8,1985,0.774
8030,1040,15a,9,1985,0.803
8140,980,15b,9,1985,0.814
7472,940,15a,10,1985,0.7472
8360,790,15b,10,1985,0.836
8860,810,15a,11,1985,0.886
7510,880,15b,11,1985,0.751
7240,860,15a,12,1985,0.724
7790,780,15b,12,1985,0.779
7530,610,15a,1,1986,0.753
7460,620,15b,1,1986,0.746
6610,850,15a,2,1986,0.661
5990,710,15b,2,1986,0.599
5930,790,15a,3,1986,0.593
3242,880,15b,3,1986,0.3242
4570,830,15a,4,1986,0.457
5460,830,15b,4,1986,0.546
3870,850,15a,5,1986,0.387
4810,930,15b,5,1986,0.481
3900,830,15a,6,1986,0.39
5620,900,15b,6,1986,0.562
3062,830,15a,7,1986,0.3062
5450,760,15b,7,1986,0.545
5292,1000,15a,8,1986,0.5292
8010,940,15b,8,1986,0.801
6092,960,15a,9,1986,0.6092
8100,960,15b,9,1986,0.81
7522,830,15a,10,1986,0.7522
8400,930,15b,10,1986,0.84
5432,850,15a,11,1986,0.5432
7650,890,15b,11,1986,0.765
7570,690,15a,12,1986,0.757
7830,840,15b,12,1986,0.783
6570,690,15a,1,1987,0.657
5850,740,15b,1,1987,0.585
5880,820,15a,2,1987,0.588
2972,730,15b,2,1987,0.2972
4110,760,15a,3,1987,0.411
3930,740,15b,3,1987,0.393
3690,860,15a,4,1987,0.369
4460,890,15b,4,1987,0.446
4240,780,15a,5,1987,0.424
5180,760,15b,5,1987,0.518
4500,780,15a,6,1987,0.45
5540,950,15b,6,1987,0.554
5650,950,15a,7,1987,0.565
8240,920,15b,7,1987,0.824
7100,860,15a,8,1987,0.71
3952,650,15b,8,1987,0.3952
7820,820,15a,9,1987,0.782
7700,910,15b,9,1987,0.77
7690,760,15a,10,1987,0.769
7582,770,15b,10,1987,0.7582
7790,740,15a,11,1987,0.779
7362,830,15b,11,1987,0.7362
6802,720,15a,12,1987,0.6802
5302,820,15b,12,1987,0.5302
7660,610,15a,1,1988,0.766
3202,680,15b,1,1988,0.3202
4960,582,15a,2,1988,0.496
4940,830,15b,2,1988,0.494
3930,810,15a,3,1988,0.393
5960,830,15b,3,1988,0.596
5530,900,15a,4,1988,0.553
5070,830,15b,4,1988,0.507
6520,780,15a,5,1988,0.652
6770,780,15b,5,1988,0.677
4020,910,15a,6,1988,0.402
5740,960,15b,6,1988,0.574
7090,930,15a,7,1988,0.709
7730,880,15b,7,1988,0.773
7200,1020,15a,8,1988,0.72
7222,1050,15b,8,1988,0.7222
8100,780,15a,9,1988,0.81
7442,830,15b,9,1988,0.7442
8080,980,15a,10,1988,0.808
8210,730,15b,10,1988,0.821
6652,900,15a,11,1988,0.6652
8250,830,15b,11,1988,0.825
6392,950,15a,12,1988,0.6392
5602,760,15b,12,1988,0.5602
7850,700,15a,1,1989,0.785
8170,690,15b,1,1989,0.817
6290,810,15a,2,1989,0.629
5380,670,15b,2,1989,0.538
5050,670,15a,3,1989,0.505
5590,780,15b,3,1989,0.559
4780,930,15a,4,1989,0.478
6450,810,15b,4,1989,0.645
6690,760,15a,5,1989,0.669
6440,870,15b,5,1989,0.644
6910,830,15a,6,1989,0.691
6900,870,15b,6,1989,0.69
7170,810,15a,7,1989,0.717
3710,830,15b,7,1989,0.371
6770,990,15a,8,1989,0.677
8130,970,15b,8,1989,0.813
8020,1010,15a,9,1989,0.802
6312,830,15b,9,1989,0.6312
8040,830,15a,10,1989,0.804
7700,930,15b,10,1989,0.77
6032,760,15a,11,1989,0.6032
7442,770,15b,11,1989,0.7442
8230,760,15a,12,1989,0.823
7810,790,15b,12,1989,0.781
9620,690,15a,1,1990,0.962
7790,670,15b,1,1990,0.779
6250,740,15a,2,1990,0.625
5000,830,15b,2,1990,0.5
3460,810,15a,3,1990,0.346
4240,810,15b,3,1990,0.424
7010,880,15a,4,1990,0.701
6750,780,15b,4,1990,0.675
6880,850,15a,5,1990,0.688
6740,900,15b,5,1990,0.674
5620,870,15a,6,1990,0.562
7410,850,15b,6,1990,0.741
7470,810,15a,7,1990,0.747
7930,760,15b,7,1990,0.793
7220,940,15a,8,1990,0.722
7780,1010,15b,8,1990,0.778
3222,920,15a,9,1990,0.3222
8530,830,15b,9,1990,0.853
7492,870,15a,10,1990,0.7492
8690,730,15b,10,1990,0.869
8390,820,15a,11,1990,0.839
8200,910,15b,11,1990,0.82
6732,810,15a,12,1990,0.6732
7670,790,15b,12,1990,0.767
9840,700,15a,1,1991,0.984
7120,750,15b,1,1991,0.712
6630,760,15a,2,1991,0.663
4620,890,15b,2,1991,0.462
5580,830,15a,3,1991,0.558
3342,860,15b,3,1991,0.3342
6280,830,15a,4,1991,0.628
7200,880,15b,4,1991,0.72
6420,840,15a,5,1991,0.642
6020,900,15b,5,1991,0.602
5880,890,15a,6,1991,0.588
4620,880,15b,6,1991,0.462
3810,880,15a,7,1991,0.381
3130,930,15b,7,1991,0.313
5042,1160,15a,8,1991,0.5042
6932,1020,15b,8,1991,0.6932
7570,720,15a,9,1991,0.757
8770,800,15b,9,1991,0.877
8530,800,15a,10,1991,0.853
8450,750,15b,10,1991,0.845
8170,840,15a,11,1991,0.817
7362,850,15b,11,1991,0.7362
7940,780,15a,12,1991,0.794
8330,850,15b,12,1991,0.833
7130,690,15a,1,1992,0.713
4800,700,15b,1,1992,0.48
5770,740,15a,2,1992,0.577
3880,790,15b,2,1992,0.388
3980,850,15a,3,1992,0.398
3890,790,15b,3,1992,0.389
4520,860,15a,4,1992,0.452
4860,800,15b,4,1992,0.486
5450,770,15a,5,1992,0.545
4540,780,15b,5,1992,0.454
6500,750,15a,6,1992,0.65
3402,780,15b,6,1992,0.3402
6120,850,15a,7,1992,0.612
7200,900,15b,7,1992,0.72
7130,950,15a,8,1992,0.713
8000,910,15b,8,1992,0.8
6412,880,15a,9,1992,0.6412
7572,800,15b,9,1992,0.7572
7322,820,15a,10,1992,0.7322
8760,940,15b,10,1992,0.876
8270,860,15a,11,1992,0.827
8470,860,15b,11,1992,0.847
7970,870,15a,12,1992,0.797
7112,760,15b,12,1992,0.7112
6300,710,15a,1,1993,0.63
5840,770,15b,1,1993,0.584
5070,730,15a,2,1993,0.507
3840,780,15b,2,1993,0.384
4000,760,15a,3,1993,0.4
4140,790,15b,3,1993,0.414
4110,830,15a,4,1993,0.411
3760,810,15b,4,1993,0.376
4990,730,15a,5,1993,0.499
3382,900,15b,5,1993,0.3382
4240,950,15a,6,1993,0.424
6850,970,15b,6,1993,0.685
4340,880,15a,7,1993,0.434
7580,950,15b,7,1993,0.758
6042,890,15a,8,1993,0.6042
8150,1120,15b,8,1993,0.815
7780,870,15a,9,1993,0.778
8690,850,15b,9,1993,0.869
7522,800,15a,10,1993,0.7522
7482,810,15b,10,1993,0.7482
8500,870,15a,11,1993,0.85
7730,720,15b,11,1993,0.773
7540,640,15a,12,1993,0.754
6582,660,15b,12,1993,0.6582
8430,640,15a,1,1994,0.843
7330,620,15b,1,1994,0.733
6210,720,15a,2,1994,0.621
4970,820,15b,2,1994,0.497
4490,840,15a,3,1994,0.449
4050,880,15b,3,1994,0.405
3080,890,15a,4,1994,0.308
4320,750,15b,4,1994,0.432
4780,840,15a,5,1994,0.478
4730,960,15b,5,1994,0.473
6420,760,15a,6,1994,0.642
5640,770,15b,6,1994,0.564
3760,920,15a,7,1994,0.376
5710,870,15b,7,1994,0.571
6810,1020,15a,8,1994,0.681
6522,850,15b,8,1994,0.6522
7860,810,15a,9,1994,0.786
7840,900,15b,9,1994,0.784
7632,870,15a,10,1994,0.7632
8290,910,15b,10,1994,0.829
7172,870,15a,11,1994,0.7172
6262,830,15b,11,1994,0.6262
6362,800,15a,12,1994,0.6362
7970,590,15b,12,1994,0.797
8630,660,15a,1,1995,0.863
7520,740,15b,1,1995,0.752
4370,760,15a,2,1995,0.437
4000,820,15b,2,1995,0.4
2680,750,15a,3,1995,0.268
3950,840,15b,3,1995,0.395
3990,880,15a,4,1995,0.399
5370,970,15b,4,1995,0.537
6450,900,15a,5,1995,0.645
4580,790,15b,5,1995,0.458
6850,870,15a,6,1995,0.685
5280,830,15b,6,1995,0.528
4960,850,15a,7,1995,0.496
6990,860,15b,7,1995,0.699
7620,860,15a,8,1995,0.762
7530,890,15b,8,1995,0.753
8160,950,15a,9,1995,0.816
8630,830,15b,9,1995,0.863
8770,760,15a,10,1995,0.877
8900,860,15b,10,1995,0.89
8720,760,15a,11,1995,0.872
7372,770,15b,11,1995,0.7372
8060,610,15a,12,1995,0.806
6352,680,15b,12,1995,0.6352
9270,860,15a,1,1996,0.927
7600,830,15b,1,1996,0.76
6850,710,15a,2,1996,0.685
5460,760,15b,2,1996,0.546
4950,850,15a,3,1996,0.495
5720,710,15b,3,1996,0.572
3780,800,15a,4,1996,0.378
4940,830,15b,4,1996,0.494
4400,810,15a,5,1996,0.44
4420,830,15b,5,1996,0.442
3950,830,15a,6,1996,0.395
4140,920,15b,6,1996,0.414
4340,880,15a,7,1996,0.434
6660,810,15b,7,1996,0.666
5552,1000,15a,8,1996,0.5552
8650,680,15b,8,1996,0.865
8590,800,15a,9,1996,0.859
8020,920,15b,9,1996,0.802
8520,850,15a,10,1996,0.852
8400,850,15b,10,1996,0.84
8270,830,15a,11,1996,0.827
8040,760,15b,11,1996,0.804
4832,790,15a,12,1996,0.4832
6962,760,15b,12,1996,0.6962
9960,640,15a,1,1997,0.996
8160,740,15b,1,1997,0.816
7390,740,15a,2,1997,0.739
3002,840,15b,2,1997,0.3002
3691,870,15a,3,1997,0.3691
4380,920,15b,3,1997,0.438
4750,760,15a,4,1997,0.475
6020,780,15b,4,1997,0.602
6740,880,15a,5,1997,0.674
6400,900,15b,5,1997,0.64
7740,970,15a,6,1997,0.774
2992,950,15b,6,1997,0.2992
7120,700,15a,7,1997,0.712
8090,820,15b,7,1997,0.809
7740,980,15a,8,1997,0.774
8370,1050,15b,8,1997,0.837
7950,770,15a,9,1997,0.795
8960,750,15b,9,1997,0.896
8380,930,15a,10,1997,0.838
8120,980,15b,10,1997,0.812
8640,730,15a,11,1997,0.864
6802,670,15b,11,1997,0.6802
8480,690,15a,12,1997,0.848
8750,720,15b,12,1997,0.875
5740,810,15a,1,1998,0.574
7080,790,15b,1,1998,0.708
6930,830,15a,2,1998,0.693
3890,790,15b,2,1998,0.389
3210,740,15a,3,1998,0.321
3950,740,15b,3,1998,0.395
6950,750,15a,4,1998,0.695
5190,840,15b,4,1998,0.519
6290,710,15a,5,1998,0.629
7690,780,15b,5,1998,0.769
5880,910,15a,6,1998,0.588
5960,900,15b,6,1998,0.596
4460,790,15a,7,1998,0.446
7110,840,15b,7,1998,0.711
8620,1080,15a,8,1998,0.862
7820,1050,15b,8,1998,0.782
8170,1080,15a,9,1998,0.817
8080,850,15b,9,1998,0.808
8470,810,15a,10,1998,0.847
8440,890,15b,10,1998,0.844
8610,840,15a,11,1998,0.861
6412,890,15b,11,1998,0.6412
7102,700,15a,12,1998,0.7102
7690,670,15b,12,1998,0.769
9530,670,15a,1,1999,0.953
7850,730,15b,1,1999,0.785
7220,710,15a,2,1999,0.722
3162,700,15b,2,1999,0.3162
4910,880,15a,3,1999,0.491
3990,990,15b,3,1999,0.399
3760,850,15a,4,1999,0.376
6770,850,15b,4,1999,0.677
3990,840,15a,5,1999,0.399
3950,900,15b,5,1999,0.395
6950,860,15a,6,1999,0.695
6370,780,15b,6,1999,0.637
6170,950,15a,7,1999,0.617
5800,780,15b,7,1999,0.58
6572,980,15a,8,1999,0.6572
8250,930,15b,8,1999,0.825
8670,910,15a,9,1999,0.867
7960,1010,15b,9,1999,0.796
8500,940,15a,10,1999,0.85
7252,840,15b,10,1999,0.7252
8250,830,15a,11,1999,0.825
8250,850,15b,11,1999,0.825
7420,720,15a,12,1999,0.742
7300,720,15b,12,1999,0.73
5880,620,15a,1,2000,0.588
7410,620,15b,1,2000,0.741
6420,670,15a,2,2000,0.642
4620,880,15b,2,2000,0.462
5250,800,15a,3,2000,0.525
4270,830,15b,3,2000,0.427
4430,830,15a,4,2000,0.443
3840,820,15b,4,2000,0.384
4590,990,15a,5,2000,0.459
7500,880,15b,5,2000,0.75
7200,880,15a,6,2000,0.72
5340,810,15b,6,2000,0.534
7790,920,15a,7,2000,0.779
6960,850,15b,7,2000,0.696
8430,940,15a,8,2000,0.843
7920,870,15b,8,2000,0.792
8560,830,15a,9,2000,0.856
8840,890,15b,9,2000,0.884
8010,880,15a,10,2000,0.801
7392,720,15b,10,2000,0.7392
7780,880,15a,11,2000,0.778
8200,890,15b,11,2000,0.82
7850,830,15a,12,2000,0.785
5682,590,15b,12,2000,0.5682
8260,620,15a,1,2001,0.826
6912,730,15b,1,2001,0.6912
7450,660,15a,2,2001,0.745
5860,730,15b,2,2001,0.586
3722,760,15a,3,2001,0.3722
3310,880,15b,3,2001,0.331
5870,940,15a,4,2001,0.587
3710,910,15b,4,2001,0.371
6330,990,15a,5,2001,0.633
5600,820,15b,5,2001,0.56
5990,810,15a,6,2001,0.599
5920,890,15b,6,2001,0.592
6710,980,15a,7,2001,0.671
7870,830,15b,7,2001,0.787
7300,1010,15a,8,2001,0.73
8500,880,15b,8,2001,0.85
7160,840,15a,9,2001,0.716
8400,900,15b,9,2001,0.84
8050,820,15a,10,2001,0.805
7600,880,15b,10,2001,0.76
7870,870,15a,11,2001,0.787
7870,840,15b,11,2001,0.787
6940,770,15a,12,2001,0.694
7350,590,15b,12,2001,0.735
7380,590,15a,1,2002,0.738
7120,690,15b,1,2002,0.712
5672,750,15a,2,2002,0.5672
5000,660,15b,2,2002,0.5
3950,730,15a,3,2002,0.395
3362,810,15b,3,2002,0.3362
3970,950,15a,4,2002,0.397
4660,840,15b,4,2002,0.466
5760,990,15a,5,2002,0.576
3692,870,15b,5,2002,0.3692
6500,990,15a,6,2002,0.65
5780,830,15b,6,2002,0.578
5320,760,15a,7,2002,0.532
7160,880,15b,7,2002,0.716
7260,950,15a,8,2002,0.726
8470,900,15b,8,2002,0.847
7940,880,15a,9,2002,0.794
8540,870,15b,9,2002,0.854
8560,820,15a,10,2002,0.856
8240,640,15b,10,2002,0.824
7860,840,15a,11,2002,0.786
8120,710,15b,11,2002,0.812
7040,640,15a,12,2002,0.704
8090,680,15b,12,2002,0.809
6702,560,15a,1,2003,0.6702
8020,690,15b,1,2003,0.802
6290,640,15a,2,2003,0.629
5700,640,15b,2,2003,0.57
4060,780,15a,3,2003,0.406
4860,760,15b,3,2003,0.486
3920,870,15a,4,2003,0.392
3430,920,15b,4,2003,0.343
2972,920,15a,5,2003,0.2972
5010,860,15b,5,2003,0.501
6120,830,15a,6,2003,0.612
5960,880,15b,6,2003,0.596
5140,870,15a,7,2003,0.514
6270,790,15b,7,2003,0.627
7280,980,15a,8,2003,0.728
7020,750,15b,8,2003,0.702
8200,790,15a,9,2003,0.82
8650,760,15b,9,2003,0.865
7760,720,15a,10,2003,0.776
8380,900,15b,10,2003,0.838
8220,750,15a,11,2003,0.822
6542,820,15b,11,2003,0.6542
7900,710,15a,12,2003,0.79
7750,710,15b,12,2003,0.775
6972,600,15a,1,2004,0.6972
7900,710,15b,1,2004,0.79
4432,780,15a,2,2004,0.4432
4870,680,15b,2,2004,0.487
6000,880,15a,3,2004,0.6
5930,990,15b,3,2004,0.593
2732,890,15a,4,2004,0.2732
4330,940,15b,4,2004,0.433
4590,840,15a,5,2004,0.459
3842,920,15b,5,2004,0.3842
4232,950,15a,6,2004,0.4232
6240,890,15b,6,2004,0.624
4712,860,15a,7,2004,0.4712
6630,730,15b,7,2004,0.663
6720,820,15a,8,2004,0.672
7870,750,15b,8,2004,0.787
8010,650,15a,9,2004,0.801
7780,640,15b,9,2004,0.778
8430,670,15a,10,2004,0.843
8170,640,15b,10,2004,0.817
7830,530,15a,11,2004,0.783
8320,550,15b,11,2004,0.832
8140,640,15a,12,2004,0.814
8140,670,15b,12,2004,0.814
8240,590,15a,1,2005,0.824
6860,730,15b,1,2005,0.686
6820,710,15a,2,2005,0.682
5484,800,15b,2,2005,0.5484
4110,800,15a,3,2005,0.411
3792,800,15b,3,2005,0.3792
5870,950,15a,4,2005,0.587
6020,1010,15b,4,2005,0.602
3772,870,15a,5,2005,0.3772
3492,770,15b,5,2005,0.3492
3790,730,15a,6,2005,0.379
4810,840,15b,6,2005,0.481
6870,920,15a,7,2005,0.687
7230,810,15b,7,2005,0.723
6592,640,15a,8,2005,0.6592
8030,610,15b,8,2005,0.803
8040,490,15a,9,2005,0.804
8360,680,15b,9,2005,0.836
8200,650,15a,10,2005,0.82
8460,660,15b,10,2005,0.846
8000,580,15a,11,2005,0.8
7940,590,15b,11,2005,0.794
8060,630,15a,12,2005,0.806
7390,550,15b,12,2005,0.739
7860,670,15a,1,2006,0.786
8040,730,15b,1,2006,0.804
7270,850,15a,2,2006,0.727
6310,890,15b,2,2006,0.631
6900,760,15a,3,2006,0.69
5980,820,15b,3,2006,0.598
3620,950,15a,4,2006,0.362
3632,850,15b,4,2006,0.3632
3910,920,15a,5,2006,0.391
3570,860,15b,5,2006,0.357
3302,920,15a,6,2006,0.3302
3772,860,15b,6,2006,0.3772
6460,750,15a,7,2006,0.646
5372,720,15b,7,2006,0.5372
7270,640,15a,8,2006,0.727
8230,720,15b,8,2006,0.823
6402,640,15a,9,2006,0.6402
8160,590,15b,9,2006,0.816
8250,640,15a,10,2006,0.825
8170,620,15b,10,2006,0.817
3242,590,15a,11,2006,0.3242
8120,520,15b,11,2006,0.812
8400,590,15a,12,2006,0.84
7840,610,15b,12,2006,0.784
7162,710,15a,1,2007,0.7162
7500,920,15b,1,2007,0.75
5934,720,15a,2,2007,0.5934
4152,850,15b,2,2007,0.4152
3710,850,15a,3,2007,0.371
3970,860,15b,3,2007,0.397
6110,900,15a,4,2007,0.611
5090,880,15b,4,2007,0.509
6260,790,15a,5,2007,0.626
4880,870,15b,5,2007,0.488
7270,920,15a,6,2007,0.727
5032,1030,15b,6,2007,0.5032
6860,940,15a,7,2007,0.686
8440,840,15b,7,2007,0.844
7420,720,15a,8,2007,0.742
7400,710,15b,8,2007,0.74
7570,730,15a,9,2007,0.757
8420,670,15b,9,2007,0.842
8280,640,15a,10,2007,0.828
8200,660,15b,10,2007,0.82
7800,580,15a,11,2007,0.78
8000,460,15b,11,2007,0.8
3122,590,15a,12,2007,0.3122
7830,610,15b,12,2007,0.783
8130,700,15a,1,2008,0.813
6870,610,15b,1,2008,0.687
5570,860,15a,2,2008,0.557
3922,800,15b,2,2008,0.3922
4560,920,15a,3,2008,0.456
4580,960,15b,3,2008,0.458
4740,840,15a,4,2008,0.474
4640,890,15b,4,2008,0.464
5740,940,15a,5,2008,0.574
6010,740,15b,5,2008,0.601
6640,850,15a,6,2008,0.664
6520,850,15b,6,2008,0.652
6990,830,15a,7,2008,0.699
7320,920,15b,7,2008,0.732
7800,620,15a,8,2008,0.78
7072,720,15b,8,2008,0.7072
7780,610,15a,9,2008,0.778
8170,650,15b,9,2008,0.817
8270,590,15a,10,2008,0.827
8150,610,15b,10,2008,0.815
8070,650,15a,11,2008,0.807
8110,640,15b,11,2008,0.811
8030,500,15a,12,2008,0.803
6442,490,15b,12,2008,0.6442
8370,680,15a,1,2009,0.837
7530,710,15b,1,2009,0.753
6390,820,15a,2,2009,0.639
6630,830,15b,2,2009,0.663
6190,820,15a,3,2009,0.619
4040,860,15b,3,2009,0.404
5270,940,15a,4,2009,0.527
5970,900,15b,4,2009,0.597
3180,910,15a,5,2009,0.318
2650,930,15b,5,2009,0.265
4740,1000,15a,6,2009,0.474
5180,920,15b,6,2009,0.518
6980,930,15a,7,2009,0.698
8370,960,15b,7,2009,0.837
7560,1020,15a,8,2009,0.756
8250,1020,15b,8,2009,0.825
9130,680,15a,9,2009,0.913
8150,780,15b,9,2009,0.815
8310,760,15a,10,2009,0.831
8330,940,15b,10,2009,0.833
8530,930,15a,11,2009,0.853
8670,780,15b,11,2009,0.867
8710,710,15a,12,2009,0.871
7112,820,15b,12,2009,0.7112
8960,710,15a,1,2010,0.896
7800,820,15b,1,2010,0.78
6410,820,15a,2,2010,0.641
4300,880,15b,2,2010,0.43
3990,770,15a,3,2010,0.399
5390,760,15b,3,2010,0.539
4350,920,15a,4,2010,0.435
2630,910,15b,4,2010,0.263
2940,870,15a,5,2010,0.294
6160,840,15b,5,2010,0.616
6390,790,15a,6,2010,0.639
6310,890,15b,6,2010,0.631
7170,930,15a,7,2010,0.717
7280,850,15b,7,2010,0.728
6670,950,15a,8,2010,0.667
4012,1030,15b,8,2010,0.4012
7670,890,15a,9,2010,0.767
7402,730,15b,9,2010,0.7402
9020,820,15a,10,2010,0.902
6232,890,15b,10,2010,0.6232
7250,620,15a,11,2010,0.725
8310,750,15b,11,2010,0.831
6862,750,15a,12,2010,0.6862
8480,820,15b,12,2010,0.848
9410,740,15a,1,2011,0.941
8530,770,15b,1,2011,0.853
6800,850,15a,2,2011,0.68
5510,820,15b,2,2011,0.551
5370,850,15a,3,2011,0.537
5190,900,15b,3,2011,0.519
4390,920,15a,4,2011,0.439
4850,890,15b,4,2011,0.485
7030,910,15a,5,2011,0.703
7202,910,15b,5,2011,0.7202
7230,970,15a,6,2011,0.723
6250,930,15b,6,2011,0.625
6400,910,15a,7,2011,0.64
7350,860,15b,7,2011,0.735
8130,810,15a,8,2011,0.813
8490,790,15b,8,2011,0.849
7812,910,15a,9,2011,0.7812
8800,850,15b,9,2011,0.88
8490,870,15a,10,2011,0.849
8110,880,15b,10,2011,0.811
7702,900,15a,11,2011,0.7702
8560,850,15b,11,2011,0.856
8240,830,15a,12,2011,0.824
8262,800,15b,12,2011,0.8262
